,title,release_year,locations,locations_formatted,formatted_address,lat,long
75,Bicentennial Man,1999,Golden Gate Bridge,"Golden Gate Bridge, San Francisco, CA","Golden Gate Bridge, San Francisco, CA, USA",37.8194509,-122.4784353
76,Bicentennial Man,1999,Treasure Island,"Treasure Island, San Francisco, CA","Treasure Island, San Francisco, CA, USA",37.8235515,-122.370648
77,Bicentennial Man,1999,"Postcard Row, Alamo Square, Hayes Valley","Postcard Row, Alamo Square, Hayes Valley, San Francisco, CA","Steiner St, San Francisco, CA 94117, USA",37.7762593,-122.432758
78,Bicentennial Man,1999,Grace Cathedral Episcopal Church (1100 California Street),"1100 California Street, San Francisco, CA","Grace Cathedral, 1100 California St, San Francisco, CA 94108, USA",37.7918593,-122.4133739
79,Big Eyes,2014,Nobles Alley,"Nobles Alley, San Francisco, CA","Nobles Alley, San Francisco, CA 94133, USA",37.8009834,-122.407411
80,Big Eyes,2014,Caffe Trieste,"Caffe Trieste, San Francisco, CA","601 Vallejo St, San Francisco, CA 94133, USA",37.7986517,-122.4072959
81,Big Eyes,2014,Palace of Fine Arts,"Palace of Fine Arts, San Francisco, CA","3301 Lyon St, San Francisco, CA 94123, USA",37.8019913,-122.4486565
82,Big Eyes,2014,1101 Filbert St. ,"1101 Filbert St. , San Francisco, CA","1101 Filbert St, San Francisco, CA 94109, USA",37.8002042,-122.4178308
83,Big Eyes,2014,Saints Peter & Paul Church,"Saints Peter and Paul Church, San Francisco, CA","666 Filbert St, San Francisco, CA 94133, USA",37.801591,-122.4101982
84,Big Eyes,2014,Green St. & Grant Ave.,"Green St. and Grant Ave., San Francisco, CA","Green St & Grant Ave, San Francisco, CA 94133, USA",37.7997122,-122.4074155
85,Big Eyes,2014,Filbert St. & Leavenworth,"Filbert St. and Leavenworth, San Francisco, CA","Filbert St & Leavenworth St, San Francisco, CA 94109, USA",37.8003487,-122.4176339
86,Big Eyes,2014,Pine St. & Grant,"Pine St. and Grant, San Francisco, CA","Pine St & Grant Ave, San Francisco, CA 94108, USA",37.7915062,-122.4057618
87,Big Eyes,2014,Way Faire Inn on Leidesdorff,"Way Faire Inn on Leidesdorff, San Francisco, CA","424 Clay St, San Francisco, CA 94111, USA",37.7951109,-122.4007168
88,Big Eyes,2014,Harry's Bar on Fillmore,"Harry's Bar on Fillmore, San Francisco, CA","2020 Fillmore St, San Francisco, CA 94115, USA",37.7883499,-122.4334685
89,Big Sur,2013,"Tosca Cafe (242 Columbus Avenue, North Beach)","242 Columbus Avenue, North Beach, San Francisco, CA","242 Columbus Ave, San Francisco, CA 94133, USA",37.7976266,-122.4058736
